,Title,Company,City,State
169,Sr Data Analyst,The Judge Group ,Eden Prairie, MN
170,Data Engineer,Kraft Heinz Company ,Chicago, IL
171,Data Scientist (Flex Hybrid).,UCLA Health ,Los Angeles, CA
172,Senior Data Scientist,Nestl Research  Development ,Solon, OH
173,Integration Data Scientist - Med Device - Burlington MA,Michael Page ,Boston, MA
174,Statistical Programmer,Warman OBrien ,Cincinnati, OH
175,Mid-level Conversational Banking AI Training – Data Scientist/Analyst,ALTA IT Services ,Vienna, VA
176,NLP Machine Learning Engineer,MORSE Corp ,Cambridge, MA
177,Data Scientist,Old Dominion Freight Line ,Thomasville, NC
178,"Senior Manager, Statistical Programming",Otsuka ,Princeton, NJ
179,Senior Statistical Programmer,Fred Hutchinson Cancer Center ,Seattle, WA
180,Generative AI Engineer,CyberCoders ,Menlo Park, CA
181,Principal Applied Scientist/Machine Learning Engineer - Relocation to Australia,Rokt ,San Francisco, CA
182,Data Science Team Support Leader REMOTE,SALUD REVENUE PARTNERS LLC ,Indiana,
183,Software Engineer - Data Center Networking,Facebook App ,Seattle, WA
184,"Sr. Analyst, AI Transformation Management",Comcast ,Philadelphia, PA
185,"Associate Director, Statistical Programming",Everest Clinical Research ,Bridgewater, NJ
186,"Data Scientist - Research Triangle Park, NC (Hybrid)",BASF Corporation ,Research Triangle Park, NC
187,Data Scientist – BCG X,Boston Consulting Group ,Chicago, IL
188,Decision Support Analyst,Booz Allen Hamilton ,,
189,Senior HMIS Data Analyst,Public Health Management Corporation ,Philadelphia, PA
190,Senior Machine Learning Engineer,Links Technology Solutions Inc ,Sunnyvale, CA
191,Data Engineer – ETL Developer,Guidehouse ,Arlington, VA
192,"Senior Director, Commercial - Global Advanced Analytics and Data Science",Kite Pharma ,Foster City, CA
193,Jr. Data Scientist,ClimateAI ,Remote,
194,Part-Time Student-Data Scientist-Champaign IL,John Deere ,Champaign, IL
195,Statistician,Sciome LLC,Research Triangle Park, NC
196,"Product Strategist - Artificial Intelligence, Data Science & Machine Learning",CGI Group Inc ,Dallas, TX
197,Applied Scientist III,Belcan ,Seattle, WA
198,Senior Machine Learning Engineer,Michael Page ,Chicago, IL
199,Machine Learning Systems Engineer,Leidos ,Arlington, VA
200,Data Scientist,Ascendion ,Irving, TX
201,Data Scientist,Booz Allen Hamilton ,United States,
202,Data Scientist,Boeing Distribution Services Inc ,Coppell, TX
203,Data Scientist (L5) - Infrastructure Experimentation,Netflix ,Remote,
204,Staff Software Engineer - Data science and Machine Learning (Remote),Blackhawk Network ,Remote,
205,Data Scientist,NORC at the University of Chicago ,Chicago, IL
206,"Manager, Machine Learning Engineer",Vanguard ,Malvern, PA
207,Data Scientist,Oracle ,United States,
208,TS/ SCI Data Scientist,TEKsystems ,Bellevue, NE
209,Data Scientist - Human Resources -,AutoNation Headquarters ,Fort Lauderdale, FL
210,Sr Data Scientist - AI/ML,Kelly ,West Chester, PA
211,Sr. Enterprise Data Strategist (Remote),Cognizant Technology Solutions ,Des Moines, IA
212,Technical Recruiter (AI/NLP space),Lawboss ,Bellevue, WA
213,Data Scientist Lab - Support Services Project - $52.66/hr,Healthcare Staffing Professionals Inc ,Downey, CA
214,AI Developer Irving TX,Experis ,Irving, TX
215,Data Scientist – Petroleum & Gas,Core Group Resources ,Houston, TX
216,Data Scientist - Cloud,ManTech International Corporation ,Chantilly, VA
217,Bilingual Data Scientist (Purchasing/SCM),LG Electronics Alabama Inc ,Huntsville, AL
218,Mid-Level ORSA / Data Scientist,Peraton ,Fort Meade, MD
219,Senior Statistical Programmer,Joule ,Frisco, TX
220,Real World Data Science Manager,Sanofi ,,
221,"Senior Consultant, Data Strategy",Publicis Sapient ,Chicago, IL
222,SENIOR DATA ANALYST ANALYTICS CENTER OF EXCELLENCE,LifeBridge Health ,Baltimore, MD
223,Azure Data Engineer/Architect,SNI Technology ,Tampa, FL
224,Advanced Analytics and Credit Risk Modeling Analyst,First Help Financial ,Needham, MA
225,Data Scientist,MIT ,,
226,Data Scientist,Guidehouse ,Washington, DC
227,Scientist/LIMS Data Analyst,Bristol Myers Squibb ,New Brunswick, NJ
228,Sr. Data Analyst,eTeam Inc ,Waltham, MA
229,Senior Statistician,UCLA Health ,Los Angeles, CA
230,Sr. Legal Director - Data and Digital,Cepheid ,Washington, DC
231,Senior Bioinformatics Research Scientist- Data Scientist,St Jude Childrens Research Hospital ,Memphis, TN
232,"Sr. Principal, Data Program Management MAU",HelloFresh ,New York, NY
233,Lead Machine Learning Engineer - REMOTE,Comcast ,Philadelphia, PA
234,Senior Statistical Programmer,Warman OBrien ,Remote,
235,Machine Learning SoC Architect,Meta ,Austin, TX
236,Data Scientist,Wellbe Senior Medical ,Chicago, IL
237,Data Scientist,Prodapt ,Irving, TX
238,Solutions Architect (Artificial Intelligence),Tentek Inc ,Culver City, CA
239,Data Scientist,Digitas ,New York, NY
240,Data Scientist,Tek Ninjas ,Texas,
241,"Senior Manager, Data Science, Spectrum Enterprise",SPECTRUM ,Charlotte, NC
242,"Manager, Data Engineering",Bristol Myers Squibb ,Princeton, NJ
243,"Scientist/Principal Scientist, Drug Product Development Statistician",Bristol Myers Squibb ,Summit, NJ
244,Junior Data Scientist,HawkEye ,Herndon, VA
245,Data Scientist,TriNet ,Remote,
246,Data Scientist,HawkEye ,Herndon, VA
247,"Data Scientist, Marketing",Asana ,San Francisco, CA
248,"Data Scientist, DentaQuest",DentaQuest ,Wellesley Hills, MA
